2020/12/03 15:41:31 [error] 28#28: *132 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:41:31 [error] 28#28: *132 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:41:31 [error] 28#28: *132 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:42:10 [error] 29#29: *127 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:42:14 [error] 29#29: *127 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:42:16 [error] 29#29: *127 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:42:16 [error] 29#29: *127 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:50:05 [error] 28#28: *149 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:50:07 [error] 28#28: *149 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:51:15 [error] 28#28: *153 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
